timestamp,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37
0,0.104167,0.036691,0.038346,0.041708,0.0,0.797213,0.852101,0.0,0.003292,0.0,0.0,0.018868,0.0,0.009021,0.014792,0.060026,0.0,0.0,0.263527,0.246483,0.486484,0.446025,0.032459,0.935687,0.10687,0.935797,0.0,0.463542,0.0,0.064516,0.455367,0.0,0.045455,0.038314,0.1875,0.1875,0.0,0.0
1,0.104167,0.026218,0.036624,0.041019,0.0,0.79867,0.852137,0.0,0.00439,0.000357,0.000396,0.033962,0.0,0.008908,0.019018,0.053262,0.0,0.0,0.276947,0.241536,0.517682,0.469703,0.020718,0.934787,0.099237,0.93477,0.0,0.492359,0.0,0.064516,0.483935,0.0,0.045455,0.02682,0.125,0.125,0.0,0.0
2,0.125,0.047726,0.045327,0.044068,0.0,0.801915,0.8522,0.0,0.00439,5.6e-05,0.0,0.018868,0.0,0.01162,0.015698,0.069253,0.0,0.0,0.293112,0.292666,0.591386,0.541216,0.030387,0.936362,0.10687,0.936481,0.0,0.562826,0.0,0.064516,0.553671,0.0,0.045455,0.034483,0.0625,0.125,0.0,0.0
3,0.104167,0.062838,0.050585,0.045937,0.0,0.803569,0.852218,0.0,0.00417,0.0,0.0,0.018868,0.0,0.010632,0.015886,0.054567,0.0,0.0,0.226676,0.271602,0.54984,0.503652,0.031077,0.93535,0.10687,0.935568,0.0,0.523262,0.0,0.064516,0.515467,0.0,0.045455,0.019157,0.1875,0.1875,0.0,0.0
4,0.104167,0.066915,0.055208,0.047905,0.0,0.804573,0.852343,0.0,0.003951,0.0,0.0,0.015094,0.0,0.010673,0.014905,0.068649,0.0,0.0,0.287451,0.295859,0.614301,0.561045,0.029696,0.936586,0.114504,0.936823,0.0,0.584796,0.0,0.064516,0.576109,0.0,0.045455,0.034483,0.125,0.125,0.0,0.0
5,0.104167,0.098053,0.069441,0.053708,0.0,0.805479,0.852433,0.0,0.003073,5.6e-05,0.0,0.022642,0.0,0.00904,0.012679,0.061233,0.0,0.0,0.257364,0.285824,0.599105,0.547,0.032459,0.934563,0.114504,0.93477,0.0,0.570319,0.0,0.075269,0.562698,0.0,0.0,0.019157,0.1875,0.1875,0.0,0.0
6,0.104167,0.050959,0.062642,0.05243,0.0,0.806961,0.85237,0.0,0.003951,0.0,0.0,0.015094,0.0,0.011237,0.01415,0.067707,0.0,0.0,0.295685,0.267391,0.544042,0.49655,0.036602,0.934563,0.10687,0.93477,0.0,0.517787,0.0,0.064516,0.507951,0.0,0.045455,0.011494,0.1875,0.1875,0.0,0.0
7,0.114583,0.013566,0.039706,0.045249,0.0,0.813341,0.852487,0.0,0.005048,1.9e-05,0.0,0.018868,0.0,0.011689,0.018113,0.066427,0.0,0.0,0.290128,0.286447,0.546731,0.501983,0.033149,0.936137,0.114504,0.936367,0.0,0.520621,0.0,0.064516,0.509348,0.0,0.090909,0.022989,0.125,0.125,0.0,0.0
8,0.104167,0.023828,0.039797,0.044954,0.0,0.81508,0.852478,0.0,0.003512,0.0,0.0,0.018868,0.0,0.010508,0.013471,0.066475,0.0,0.0,0.271131,0.236892,0.466353,0.427546,0.032459,0.934225,0.10687,0.934428,0.0,0.443919,0.0,0.064516,0.435161,0.0,0.045455,0.045977,0.1875,0.1875,0.0,0.0
9,0.125,0.048148,0.046959,0.047413,0.0,0.841165,0.870044,0.0,0.003512,0.0,0.0,0.018868,0.0,0.010742,0.01332,0.04819,0.0,0.0,0.26117,0.244215,0.540201,0.489469,0.048343,0.942096,0.10687,0.941384,0.0,0.514454,0.0,0.064516,0.507748,0.0,0.045455,0.02682,0.125,0.125,0.0,0.0
10,0.208333,0.091516,0.063548,0.053512,0.0,0.906181,0.915207,0.0,0.008999,0.000357,0.000198,0.037736,0.0,0.014966,0.025056,0.108263,0.0,0.0,0.29131,0.27062,0.546659,0.500069,0.046271,0.96908,0.19084,0.968982,0.0,0.520723,0.0,0.182796,0.51576,0.125,0.045455,0.011494,0.1875,0.1875,0.0,0.0
11,0.333333,0.175722,0.100716,0.067873,0.0,0.964657,0.959085,0.0,0.081651,0.000808,0.00099,0.026415,0.078947,0.103607,0.036263,0.471098,0.0,0.0,0.378729,0.755404,0.933498,0.915409,0.071133,0.964246,0.381679,0.964078,0.0,0.921655,0.0,0.666667,0.933994,0.0,0.590909,0.007663,0.1875,0.1875,0.0,0.0
12,0.1875,0.11928,0.101713,0.070726,0.0,0.942822,0.944842,0.0,0.015803,0.006388,0.008913,0.101887,0.052632,0.022351,0.029697,0.089471,0.0,0.0,0.243992,0.246529,0.489689,0.448439,0.078039,0.944232,0.305344,0.943551,0.0,0.468236,0.0,0.655914,0.460314,0.0,0.045455,0.011494,0.125,0.125,0.0,0.0
13,0.177083,0.082941,0.098631,0.071906,0.0,0.859253,0.88285,0.0,0.022388,0.0,0.0,0.033962,0.0,0.024446,0.038942,0.137443,0.0,0.0,0.281994,0.3515,0.859314,0.739636,0.061464,0.935912,0.152672,0.936139,0.0,0.850054,0.0,0.182796,0.797408,0.125,0.136364,0.034483,0.125,0.125,0.0,0.0
